Geneid         	YRIERR188044  	YRIERR188104  	YRIERR188234  	GBRERR188245  	GBRERR188257  	YRIERR188273  	GBRERR188337  	GBRERR188383  	GBRERR188401  	GBRERR188428  	YRIERR188454  	YRIERR204916
NM_001008534	0	0	0	0	0	0	0	0	0	0	0	0
NM_023010	0	0	0	0	0	0	0	0	0	0	0	0
NM_004541	2628	2349	3031	1806	1896	1132	1555	2202	2517	1258	2483	2155
NM_001008535	0	0	0	0	0	0	0	0	0	0	0	0
NM_080632	1	2	0	0	1	0	1	0	1	0	0	0
NM_178813	0	0	0	0	0	0	0	0	0	0	0	0
NR_131250	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099685	0	0	0	0	0	0	0	0	0	0	0	0
NM_139282	1	5	1	3	1	1	3	0	1	1	0	2
NR_126557	3	1	0	1	1	1	0	2	0	1	0	1
NM_032498	0	0	0	0	0	0	0	0	0	0	0	0
NM_001184742	4	4	1	1	3	0	3	3	7	1	1	1
NM_017938	0	0	0	0	0	0	0	0	0	0	0	0
NM_006777	0	0	0	0	0	0	0	0	0	0	0	0
NM_001104545	0	0	0	0	0	0	0	0	0	0	0	0
NM_001104544	0	0	0	0	0	0	0	0	0	0	0	0
NR_027131	51	38	54	34	52	22	80	43	74	38	47	36
NM_012069	0	0	0	0	0	0	0	0	0	0	0	0
NM_001142447	0	0	0	0	0	0	0	0	0	0	0	0
NM_001079872	113	77	78	25	37	36	107	28	73	56	47	73
NM_003588	2	0	0	0	0	1	2	0	1	0	0	0
NM_014060	252	247	320	241	201	104	225	216	320	162	230	228
NM_001137554	7	10	11	3	8	3	3	9	11	11	7	4
NM_001011551	0	0	0	0	0	0	0	0	0	0	0	0
NM_152692	1	4	1	0	0	0	3	2	3	1	2	0
NM_001080140	0	0	0	0	0	0	0	0	0	0	0	0
NM_001145718	0	0	0	0	0	0	0	0	0	0	0	0
NM_012084	278	213	214	81	120	91	162	119	192	114	187	211
NR_037444	0	0	0	0	0	0	0	0	0	0	0	0
NM_001256743	4	2	1	0	1	3	0	0	0	0	1	0
NR_130770	1	6	1	2	1	4	5	2	1	4	4	1
NM_002351	0	0	0	0	0	0	0	0	0	0	0	0
NM_001114937	0	0	0	0	0	0	0	0	0	0	0	0
NM_001195272	0	0	0	0	0	0	0	0	0	0	0	0
NR_110409	0	0	0	1	0	0	0	0	0	0	0	0
NM_001013628	0	0	0	0	0	0	0	0	0	0	0	2
NM_178470	0	0	0	0	0	0	0	0	0	0	0	0
NM_001122716	0	0	1	0	0	0	1	0	0	1	0	0
NM_138289	0	0	0	0	0	0	0	0	0	0	0	0
NM_001587	0	0	0	0	0	0	0	0	0	0	0	0
NM_000276	1	1	0	0	0	0	1	0	0	0	1	1
NM_017413	77	141	44	53	19	15	46	65	101	27	24	117
NM_016032	9	5	6	13	12	3	17	13	15	4	7	23
NM_001008222	0	0	0	0	0	0	0	0	0	0	0	0
NM_018990	10154	7505	11181	6633	6685	3944	9210	5492	12416	5691	8087	7981
NM_001166221	0	0	0	0	0	0	0	0	0	0	0	0
NM_006649	59	75	68	46	43	31	77	59	102	55	64	52
NM_001130846	4	3	2	2	3	0	4	0	3	0	2	3
NM_001421	1	0	0	6	12	0	14	7	6	0	14	11
NM_001127197	1	0	0	2	7	0	12	6	8	2	5	17
NM_017666	179	256	205	189	237	94	355	184	333	207	177	199
NM_004794	601	672	856	452	389	404	491	566	472	300	656	656
NM_001282198	0	0	0	0	0	0	0	0	0	0	0	0
NM_178471	1	0	0	0	0	0	0	0	0	0	0	0
NM_001282197	4	1	2	0	2	1	2	3	1	0	1	0
NM_001282196	0	0	0	0	0	0	0	0	0	0	0	0
NM_001282195	0	0	0	0	0	0	0	0	0	0	0	0
NR_104107	0	0	0	0	0	0	0	0	0	0	0	0
NM_016024	827	942	742	547	703	392	796	896	948	599	660	730
NR_027141	349	351	336	198	279	212	335	306	346	179	407	247
NR_126350	0	0	0	0	0	0	0	0	0	0	0	0
NM_001170961	0	0	0	0	0	0	0	0	0	0	0	0
NM_001555	0	0	0	0	0	0	0	0	0	0	0	0
NM_001170963	0	0	0	0	0	0	0	0	0	0	0	0
NM_001170962	0	0	0	0	0	0	0	0	0	0	0	0
NM_205833	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004486	0	0	0	0	0	0	0	0	0	0	0	0
NM_016542	2	0	0	2	2	0	6	6	7	0	1	1
NM_001042453	0	0	0	0	0	0	0	0	0	0	0	0
NM_001042452	0	0	0	0	0	0	0	0	0	0	0	0
NM_001271187	0	0	0	0	0	0	0	0	0	0	0	0
NM_001271186	1	0	0	0	0	0	0	0	0	0	0	0
NR_073150	0	0	0	0	0	1	0	0	1	0	0	0
NM_021183	0	0	0	0	0	0	0	0	0	0	2	0
NR_046691	0	0	0	0	0	0	0	0	0	0	0	0
NM_031907	0	0	0	0	0	0	0	0	0	0	1	0
NM_016521	0	3	0	0	0	1	0	0	0	0	0	1
NM_001448	1068	353	1206	116	209	8	636	312	375	178	18	614
NR_029491	0	0	0	0	0	1	0	0	0	0	1	0
NR_029852	0	1	0	0	0	0	0	0	0	0	0	0
NR_029950	0	0	1	1	0	0	0	1	0	0	0	0
NR_029949	0	1	0	0	0	0	0	0	0	0	0	0
NR_029523	0	0	0	0	0	0	0	0	0	0	0	1
